,Judul,Penulis,pembimbing I,pembimbing II,Abstrak,abstrak_tokens
0,"PERANCANGAN DAN IMPLEMENTASI SISTEM DATABASE 
TERDISTRIBUSI MENGGUNAKAN ORACLE STUDI KASUS 
SIAKAD UNIVERSITAS TRUNOJOYO",A.Ubaidillah S.Kom,Budi Setyono M.T,Hermawan S.T,sistem informasi akademik siakad merupakan sistem informasi yang berfungsi megani pengelolaan dan penyajian data data akademik yang oleh pihak fakultas siakad dianggap sangat penting dalam memberikan pelaya mahasiswa yang membutuhkan informasi akademik di universitas trunojoyo telah tersedia siakad namun masih menggunakan database terpusat sistem seperti ini memberikan kelebihan yaitu perawatannya mudah selain itu juga membutuhkan sedikit biaya namun sistem tersebut juga berpotensi mengahadapi kendala kendala yaitu dalam proses transaksi data karena padatnya jaringan yang menuju database siakad kelambatan dalam pemrosesan respon query dikarenakan data yang tersimpan semakin besar dan pemrosesan semakin kompleks dan juga memiliki kelemahan dalam hal ketersediaan data untuk itu sistem seperti ini memerlukan pengembangan sistem database yang lebih baik dengan menggunakan sistem databases terdistribusi pada masing masing fakultas yang dapat dijadikan solusi bagi permasalahan di atas karena dalam basisdata terdistribusi terdapat keuntungan yang tidak dimiliki oleh basisdata terpusat yaitu pengawasan distribusi reability availability kecepatan dalam pemrosesan query dan otonomi local,"['sistem', 'informasi', 'akademik', 'siakad', 'sistem', 'informasi', 'berfungsi', 'megani', 'pengelolaan', 'penyajian', 'data', 'data', 'akademik', 'fakultas', 'siakad', 'dianggap', 'pelaya', 'mahasiswa', 'membutuhkan', 'informasi', 'akademik', 'universitas', 'trunojoyo', 'tersedia', 'siakad', 'database', 'terpusat', 'sistem', 'kelebihan', 'perawatannya', 'mudah', 'membutuhkan', 'biaya', 'sistem', 'berpotensi', 'mengahadapi', 'kendala', 'kendala', 'proses', 'transaksi', 'data', 'padatnya', 'jaringan', 'database', 'siakad', 'kelambatan', 'pemrosesan', 'respon', 'query', 'data', 'tersimpan', 'pemrosesan', 'kompleks', 'memiliki', 'kelemahan', 'ketersediaan', 'data', 'sistem', 'pengembangan', 'sistem', 'database', 'sistem', 'databases', 'terdistribusi', 'fakultas', 'dijadikan', 'solusi', 'permasalahan', 'basisdata', 'terdistribusi', 'keuntungan', 'dimiliki', 'basisdata', 'terpusat', 'pengawasan', 'distribusi', 'reability', 'availability', 'kecepatan', 'pemrosesan', 'query', 'otonomi', 'local']"
1,APLIKASI KONTROL DAN MONITORING JARINGAN KOMPUTER BERBASIS MOBILE,"M. Basith Ardianto,","Drs. Budi Soesilo, MT","Koko Joni, ST",berjalannya koneksi jaringan komputer dengan lancar dan tanpa gangguan merupakan harapan seluruh pengguya terutama pihak yang bertanggung jawab pada bidang itu yakni administrator jaringan namun tidak selamanya koneksi jaringan dapat berjalan dengan lancar tanpa adanya gangguan kenyataan di lapangan terutama pada jaringan komputer skala besar berpotensi besar terjadi gangguan atau bahkan kerusakan koneksi jaringan komputer hal ini rata rata disebabkan banyaknya penggunaan serta padatnya traffic data dalam jaringan komputer itu sendiri oleh karena itu untuk menjaga bahkan meningkatkan kualitas laya koneksi jaringan maka diperlukan adanya akses kontrol dan monitoring pada level administrator jaringan secara real time berbasis mobile yang dapat mengatur dan mengetahui informasi tentang koneksi jaringan dan dapat diakses setiap saat pihak administrator jaringan dituntut untuk terlebih dahulu mengetahui adanya gangguan atau bahkan terputusnya koneksi jaringan walaupun administrator tidak berada di tempat kontrol dan monitoring dengan adanya sistem kontrol dan monitoring berbasis mobile diharapkan dapat membantu tugas administrator dalam mengontrol dan memantau jaringan serta dalam mengambil kebijakan atas node node yang terkoneksi pada jaringan yakni memanajemen koneksi port dan bandwidth setiap saat dan secara mobile agar dengan segera dapat melakukan pembenahan ketika terjadi gangguan jaringan sebelum pemakai jaringan klien melakukan pengaduan atas adanya gangguan kata kunci administrator jaringan koneksi jaringan akses kontrol dan monitoring,"['berjalannya', 'koneksi', 'jaringan', 'komputer', 'lancar', 'gangguan', 'harapan', 'pengguya', 'bertanggung', 'bidang', 'administrator', 'jaringan', 'koneksi', 'jaringan', 'berjalan', 'lancar', 'gangguan', 'kenyataan', 'lapangan', 'jaringan', 'komputer', 'skala', 'berpotensi', 'gangguan', 'kerusakan', 'koneksi', 'jaringan', 'komputer', 'disebabkan', 'banyaknya', 'penggunaan', 'padatnya', 'traffic', 'data', 'jaringan', 'komputer', 'menjaga', 'meningkatkan', 'kualitas', 'laya', 'koneksi', 'jaringan', 'akses', 'kontrol', 'monitoring', 'level', 'administrator', 'jaringan', 'real', 'time', 'berbasis', 'mobile', 'mengatur', 'informasi', 'koneksi', 'jaringan', 'diakses', 'administrator', 'jaringan', 'dituntut', 'gangguan', 'terputusnya', 'koneksi', 'jaringan', 'administrator', 'kontrol', 'monitoring', 'sistem', 'kontrol', 'monitoring', 'berbasis', 'mobile', 'diharapkan', 'membantu', 'tugas', 'administrator', 'mengontrol', 'memantau', 'jaringan', 'mengambil', 'kebijakan', 'node', 'node', 'terkoneksi', 'jaringan', 'memanajemen', 'koneksi', 'port', 'bandwidth', 'mobile', 'pembenahan', 'gangguan', 'jaringan', 'pemakai', 'jaringan', 'klien', 'pengaduan', 'gangguan', 'kunci', 'administrator', 'jaringan', 'koneksi', 'jaringan', 'akses', 'kontrol', 'monitoring']"
2,"RANCANG BANGUN APLIKASI PROXY SERVER UNTUK
ENKRIPSI KODE HTML MENGGUNAKAN
ALGORITMA BLOWFISH","Akhmad Suyandi, S.Kom","Drs. Budi Soesilo, M.T","Hermawan, ST, MT",web server adalah sebuah perangkat lunak server yang berfungsi menerima permintaan http atau https dari web client dan mengirimkan jawaban dalam bentuk halaman halaman web yang umumnya berbentuk dokumen html dokumen html yang dikirim merupakan dokumen yang dibentuk dari bahasa markup yang plaintext artinya dokumen berisi kode kode html murni tanpa proses enkripsi tujuan dari penelitan ini adalah membuat sebuah aplikasi proxy server yang menerima permintaan http dari web client dan meneruskannya ke web server kemudian aplikasi ini akan menerima respon dari server dan melakukan proses enkripsi pada dokumen html terlebih dahulu sehingga dokumen html yang dikirim kepada web client sudah berbentuk dokumen html yang terenkripsi web client disini bisa berupa aplikasi seperti internet explorer mozilla firefox atau opera aplikasi aplikasi tersebut biasa dikenal dengan sebutan web browser ketika web browser menerima dokumen html yang terenkripsi dari aplikasi proxy server maka javascript engine yang ada di web browser akan melakukan proses dekripsi sekaligus rendering sehingga dokumen akan ditampilkan sesuai dengan aslinya namun apabila kode dari dokumen html tersebut dilihat melalui menu view source yang ada di web browser akan didapatkan dokumen html yang tetap terenkripsi,"['web', 'server', 'perangkat', 'lunak', 'server', 'berfungsi', 'menerima', 'permintaan', 'http', 'https', 'web', 'client', 'mengirimkan', 'bentuk', 'halaman', 'halaman', 'web', 'berbentuk', 'dokumen', 'html', 'dokumen', 'html', 'dikirim', 'dokumen', 'dibentuk', 'bahasa', 'markup', 'plaintext', 'dokumen', 'berisi', 'kode', 'kode', 'html', 'murni', 'proses', 'enkripsi', 'tujuan', 'penelitan', 'aplikasi', 'proxy', 'server', 'menerima', 'permintaan', 'http', 'web', 'client', 'meneruskannya', 'web', 'server', 'aplikasi', 'menerima', 'respon', 'server', 'proses', 'enkripsi', 'dokumen', 'html', 'dokumen', 'html', 'dikirim', 'web', 'client', 'berbentuk', 'dokumen', 'html', 'terenkripsi', 'web', 'client', 'aplikasi', 'internet', 'explorer', 'mozilla', 'firefox', 'opera', 'aplikasi', 'aplikasi', 'dikenal', 'sebutan', 'web', 'browser', 'web', 'browser', 'menerima', 'dokumen', 'html', 'terenkripsi', 'aplikasi', 'proxy', 'server', 'javascript', 'engine', 'web', 'browser', 'proses', 'dekripsi', 'rendering', 'dokumen', 'ditampilkan', 'sesuai', 'aslinya', 'kode', 'dokumen', 'html', 'menu', 'view', 'source', 'web', 'browser', 'didapatkan', 'dokumen', 'html', 'terenkripsi']"
3,"SISTEM PENDUKUNG KEPUTUSAN OPTIMASI PENJADWALAN MATAKULIAH UNTUK PENGGUNAAN RUANGAN KULIAH BERSAMA DI UNIVERSITAS TRUNOJOYO MADURA MENGGUNAKAN ALGORITMA  
GENETIKA",Heri Supriyanto,"Mulaab, S.Si., M.Kom","Firli Irhamni, ST., M.Kom",penjadwalan kuliah di perguruan tinggi merupakan masalah yang kompleks dalam permasalahan tersebut terdapat beberapa variabel yang harus dipertimbangkan supaya mendapatkan jadwal yang optimal di dalam penyusu jadwal kuliah ini terdapat sangat banyak kemungki yang selayaknya dicoba untuk menemukan penjadwalan yang terbaik karena itu dibutuhkan metode optimasi yang dapat diterapkan untuk mengerjakan penjadwalan mata kuliah ini metode yang dapat digunakan untuk menyelesaikan permasalahan tersebut adalah dengan menggunakan algoritma genetika tugas akhir ini bertujuan untuk membuat suatu sistem yang dapat membuat jadwal matakuliah secara otomatis dan hasilnya optimal dari hasil penelitian yang dilakukan algoritma genetika mampu membuat jadwal dengan optimal yang dibuktikan dari nilai fitness yang memiliki nilai secara otomatis jadwal yang dibentuk akan optimal semoga adanya aplikasi ini diharapkan bisa mempermudah didalam pembuatan penjadwalan matakuliah dengan mudah dan cepat kata kunci algoritma genetika optimasi penjadwalan,"['penjadwalan', 'kuliah', 'perguruan', 'kompleks', 'permasalahan', 'variabel', 'dipertimbangkan', 'jadwal', 'optimal', 'penyusu', 'jadwal', 'kuliah', 'kemungki', 'selayaknya', 'dicoba', 'menemukan', 'penjadwalan', 'terbaik', 'dibutuhkan', 'metode', 'optimasi', 'diterapkan', 'penjadwalan', 'mata', 'kuliah', 'metode', 'menyelesaikan', 'permasalahan', 'algoritma', 'genetika', 'tugas', 'bertujuan', 'sistem', 'jadwal', 'matakuliah', 'otomatis', 'hasilnya', 'optimal', 'hasil', 'penelitian', 'algoritma', 'genetika', 'jadwal', 'optimal', 'dibuktikan', 'nilai', 'fitness', 'memiliki', 'nilai', 'otomatis', 'jadwal', 'dibentuk', 'optimal', 'semoga', 'aplikasi', 'diharapkan', 'mempermudah', 'didalam', 'pembuatan', 'penjadwalan', 'matakuliah', 'mudah', 'cepat', 'kunci', 'algoritma', 'genetika', 'optimasi', 'penjadwalan']"
4,SISTEM AUGMENTED REALITY ANIMASI BENDA BERGERAK MENGGUNAKAN FLARTOOLKIT,Septian Rahman Hakim,"Arik Kurniawati, S.Kom., M.T.","Haryanto, S.T., M.T.",seiring perkembangan teknologi yang ada didunia muncul teknologi yang disebut augmented reality augmented reality ar merupakan upaya untuk menggabungkan dunia maya dan dunia virtual yang dibuat melalui komputer sehingga batas antara keduanya menjadi sangat tipis head mounted display hmd merupakan contoh hasil dari penelitian tentang augmented reality ini merupakan satu satunya peralatan dasar dalam teknologi teknologi terbaru seiring berjalannya waktu augmented reality berkembang pesat sehingga memungkinkan pengembangan aplikasi ini di berbagai bidang untuk mengembangkan ar banyak sekali library pendukung yang dapat digunakan flartoolkit adalah salah satunya flartoolkit merupakan library pendukung augmented reality pada platform flash berdasarkan sistem ar animasi benda bergerak yang dibuat adalah animasi bergerak permai pingpong dimana telah dikolaborasikan dengan augmented reality untuk menggerakkan setiap langkah dari playernya interaksi antar obyek tersebut dapat dilihat dari gerak bola yang dapat dipukul dengan obyek virtual yang ditampilkan melalui augmented reality,"['seiring', 'perkembangan', 'teknologi', 'didunia', 'muncul', 'teknologi', 'augmented', 'reality', 'augmented', 'reality', 'ar', 'upaya', 'menggabungkan', 'dunia', 'maya', 'dunia', 'virtual', 'komputer', 'batas', 'tipis', 'head', 'mounted', 'display', 'hmd', 'contoh', 'hasil', 'penelitian', 'augmented', 'reality', 'satunya', 'peralatan', 'dasar', 'teknologi', 'teknologi', 'terbaru', 'seiring', 'berjalannya', 'augmented', 'reality', 'berkembang', 'pesat', 'pengembangan', 'aplikasi', 'bidang', 'mengembangkan', 'ar', 'library', 'pendukung', 'flartoolkit', 'salah', 'satunya', 'flartoolkit', 'library', 'pendukung', 'augmented', 'reality', 'platform', 'flash', 'berdasarkan', 'sistem', 'ar', 'animasi', 'benda', 'bergerak', 'animasi', 'bergerak', 'permai', 'pingpong', 'dimana', 'dikolaborasikan', 'augmented', 'reality', 'menggerakkan', 'langkah', 'playernya', 'interaksi', 'obyek', 'gerak', 'bola', 'dipukul', 'obyek', 'virtual', 'ditampilkan', 'augmented', 'reality']"
5,Gerak Pekerja Pada Game Real Time Strategy Menggunakan Finite State Machine,Adi Chandra Laksono,"Kurniawan Eka P, S.Kom., Msc","Arik Kurniawati, S.Kom., M.T.",gerak pekerja ada pada game yang memiliki genre rts real time strategy gerak pekerja memiliki berbagai macam gerak oleh sebab itu dibutuhkan sebuah pendekatan konsep ai untuk mendesain perilaku pekerja tersebut perilaku karakter tersebut harus ditambahi dengan ai artifical intelegent agar perilakunya menjadi lebih hidup dan realistis dalam penelitian ini ai yang digunakan adalah finite state machine finite state machine digunakan untuk menentukan gerak pekerja terhadap parameter parameter yang digunakan sebagai dasar gerak yang akan dilakukan selanjutnya akan disimulasikan pada game rts dengan menggunakan game engine hasil yang di peroleh dalam penelitian ini adalah penerapan metode finite state machine untuk menentukan gerak pekerja berdasarkan parameter jumlah harta prajurit kondisi bangu dan stockpile jumlah resources yang di bawa kata kunci game real time strategy gerak pekerja finite state machine,"['gerak', 'pekerja', 'game', 'memiliki', 'genre', 'rts', 'real', 'time', 'strategy', 'gerak', 'pekerja', 'memiliki', 'gerak', 'dibutuhkan', 'pendekatan', 'konsep', 'ai', 'mendesain', 'perilaku', 'pekerja', 'perilaku', 'karakter', 'ditambahi', 'ai', 'artifical', 'intelegent', 'perilakunya', 'hidup', 'realistis', 'penelitian', 'ai', 'finite', 'state', 'machine', 'finite', 'state', 'machine', 'menentukan', 'gerak', 'pekerja', 'parameter', 'parameter', 'dasar', 'gerak', 'disimulasikan', 'game', 'rts', 'game', 'engine', 'hasil', 'peroleh', 'penelitian', 'penerapan', 'metode', 'finite', 'state', 'machine', 'menentukan', 'gerak', 'pekerja', 'berdasarkan', 'parameter', 'harta', 'prajurit', 'kondisi', 'bangu', 'stockpile', 'resources', 'bawa', 'kunci', 'game', 'real', 'time', 'strategy', 'gerak', 'pekerja', 'finite', 'state', 'machine']"
6,RANCANG BANGUN GAME PERAWATAN SAPI KARAPAN MENGGUNAKAN METODE FUZZY LOGIC,NURRACHMAT,"Arik Kurniawati, S.Kom., M.T.","Kurniawan Eka Permana, S.Kom., MSc.",perkembangan game yang semakin pesat memberikan berbagai alternative bagi peminatnya mulai dari bentuk game cerita maupun media penyajian keberadaan game yang menggambarkan budaya indonesia khususnya daerah kepulauan seperti madura terhitung sedikit sehingga dapat dirasa semakin lunturnya kebudayaan indonesia bagi anak bangsa adanya peminat game yang semakin banyak dapat digunakan sebagai sarana pengenalan budaya asli madura sebuah aplikasi game tentang olahraga yang sangat digemari di pulau madura tersebut seperti kerapan sapi adalah sangatlah penting untuk itu perlu dibangun aplikasi game kerapan sapi sebagai upaya pelestarian budaya bangsa khususnya pulau madura dengan upaya pembuatan game budaya maka dibangun game perawatan sapi karapan menggunakan metode logika fuzzy fuzzy logic dengan menginputkan parameter kekuatan dan kesehatan sapi karapan untuk menentukan harga jual sapi karapan dalam sebuah game perawatan sapi karapan kata kunci game kerapan sapi perawatan sapi kerapan budaya madura,"['perkembangan', 'game', 'pesat', 'alternative', 'peminatnya', 'bentuk', 'game', 'cerita', 'media', 'penyajian', 'keberadaan', 'game', 'menggambarkan', 'budaya', 'indonesia', 'daerah', 'kepulauan', 'madura', 'terhitung', 'dirasa', 'lunturnya', 'kebudayaan', 'indonesia', 'anak', 'bangsa', 'peminat', 'game', 'sarana', 'pengenalan', 'budaya', 'asli', 'madura', 'aplikasi', 'game', 'olahraga', 'digemari', 'pulau', 'madura', 'kerapan', 'sapi', 'dibangun', 'aplikasi', 'game', 'kerapan', 'sapi', 'upaya', 'pelestarian', 'budaya', 'bangsa', 'pulau', 'madura', 'upaya', 'pembuatan', 'game', 'budaya', 'dibangun', 'game', 'perawatan', 'sapi', 'karapan', 'metode', 'logika', 'fuzzy', 'fuzzy', 'logic', 'menginputkan', 'parameter', 'kekuatan', 'kesehatan', 'sapi', 'karapan', 'menentukan', 'harga', 'jual', 'sapi', 'karapan', 'game', 'perawatan', 'sapi', 'karapan', 'kunci', 'game', 'kerapan', 'sapi', 'perawatan', 'sapi', 'kerapan', 'budaya', 'madura']"
7,EKSTRAKSI FITUR BERBASIS TWO DIMENSIONAL LINEAR DISCRIMINANT ANALYSIS  UNTUK PENGENALAN WAJAH,Muhammad Choirur Rozi,"Dr. Arif Muntasa, S.Si.,M.T","Fitri Damayanti, S.Kom.,M.kom",sistem pengenalan wajah adalah suatu sistem untuk mengenali identitas diri dari seseorang melalui wajah manusia teknologi ini mengidentifikasi bagian tubuh manusia yang unik dan tetap seperti wajah manusia hal khusus di bidang identifikasi dan pengenalan wajah manusia memanfaatkan pengolahan dan juga analisis citra wajah yang akan berperan penting dalam proses pengenalan wajah manusia sistem ini dapat di manfaatkan dalam suatu sistem keama di bidang biometrika pada penelitian ini telah di bangun suatu perangkat lunak pengenalan citra wajah manusia menggunakan metode two dimensional linear discrimit analysis dlda untuk menentukan karakteristik dari wajah manusia sedangkan pada tahap pengklasifikasian digunakan metode angular separation untuk mengukur kemiripan antara data pelatihan training dan data uji coba testing melalui proses testing gambar wajah ini dapat di ketahui identitas diri dari seseorang dari uji coba aplikasi menggunakan klasifikasi angular separation di peroleh akurasi pengenalan benar sebesar pada lima pose citra wajah pelatihan dan lima pose citra wajah uji coba testing dengan jumlah data masing masing dua ratus citra wajah manusia yang di ambil dari database orl dengan menggunakan sepuluh eigen kata kunci sistem pengenalan wajah two dimensional linear discrimit analysis angular separation,"['sistem', 'pengenalan', 'wajah', 'sistem', 'mengenali', 'identitas', 'wajah', 'manusia', 'teknologi', 'mengidentifikasi', 'tubuh', 'manusia', 'unik', 'wajah', 'manusia', 'khusus', 'bidang', 'identifikasi', 'pengenalan', 'wajah', 'manusia', 'memanfaatkan', 'pengolahan', 'analisis', 'citra', 'wajah', 'berperan', 'proses', 'pengenalan', 'wajah', 'manusia', 'sistem', 'manfaatkan', 'sistem', 'keama', 'bidang', 'biometrika', 'penelitian', 'bangun', 'perangkat', 'lunak', 'pengenalan', 'citra', 'wajah', 'manusia', 'metode', 'two', 'dimensional', 'linear', 'discrimit', 'analysis', 'dlda', 'menentukan', 'karakteristik', 'wajah', 'manusia', 'tahap', 'pengklasifikasian', 'metode', 'angular', 'separation', 'mengukur', 'kemiripan', 'data', 'pelatihan', 'training', 'data', 'uji', 'coba', 'testing', 'proses', 'testing', 'gambar', 'wajah', 'ketahui', 'identitas', 'uji', 'coba', 'aplikasi', 'klasifikasi', 'angular', 'separation', 'peroleh', 'akurasi', 'pengenalan', 'pose', 'citra', 'wajah', 'pelatihan', 'pose', 'citra', 'wajah', 'uji', 'coba', 'testing', 'data', 'ratus', 'citra', 'wajah', 'manusia', 'ambil', 'database', 'orl', 'sepuluh', 'eigen', 'kunci', 'sistem', 'pengenalan', 'wajah', 'two', 'dimensional', 'linear', 'discrimit', 'analysis', 'angular', 'separation']"
8,IMPLEMENTASI  ALGORITMA PRIM  DAN DEPTH FIRST SEARCH PADA PEMBUATAN MAZE GAME BERBASIS ANDROID OS MOBILE,M Khoiril Anwar,"Cucun Very Angkoso, S.T., M.T.","Arik Kurniawati S. Kom., M.T.",teknologi mobile game beroperating system open source berkembang dengan sangat pesat karena keragaman variasinya mobile game memiliki banyak peminat dari berbagai kalangan hal inilah yang menjadi dasar bagi para pengembang untuk terus mengembangkan mobile game pada penelitian ini sebuah mobile game untuk mengasah kemampuan berfikir telah dikembangkan dengan mengimplementasikan algoritma prim dan depth first search dalam pembuatannya algoritma prim diterapkan pada saat pembuatan lintasan dari maze sedangkan algoritma depth first search diterapkan pada saat melakukan proses pencarian solusinya dari hasil pengujian dapat disimpulkan bahwa algoritma prim dan depth first search dapat berfungsi dengan baik pada resolusi screen x pixels dalam pembentukan lintasan dan pencarian solusi dari maze kata kunci mobile game android algoritma prim algoritma depth first search,"['teknologi', 'mobile', 'game', 'beroperating', 'system', 'open', 'source', 'berkembang', 'pesat', 'keragaman', 'variasinya', 'mobile', 'game', 'memiliki', 'peminat', 'kalangan', 'dasar', 'pengembang', 'mengembangkan', 'mobile', 'game', 'penelitian', 'mobile', 'game', 'mengasah', 'kemampuan', 'berfikir', 'dikembangkan', 'mengimplementasikan', 'algoritma', 'prim', 'depth', 'first', 'search', 'pembuatannya', 'algoritma', 'prim', 'diterapkan', 'pembuatan', 'lintasan', 'maze', 'algoritma', 'depth', 'first', 'search', 'diterapkan', 'proses', 'pencarian', 'solusinya', 'hasil', 'pengujian', 'disimpulkan', 'algoritma', 'prim', 'depth', 'first', 'search', 'berfungsi', 'resolusi', 'screen', 'x', 'pixels', 'pembentukan', 'lintasan', 'pencarian', 'solusi', 'maze', 'kunci', 'mobile', 'game', 'android', 'algoritma', 'prim', 'algoritma', 'depth', 'first', 'search']"
9,Perancangan Sistem Informasi Badan Kepegawaian Daerah ( BKD ) Bangkalan Sebagai Sub sistem dari E-Government Bangkalan Menggunakan TOGAF ADM ,MALIKUL HAMZAH,"Moch. Kautsar Sophan, S.Kom., M.MT.","Yeni Kustiyaningsih, S.Kom., M.Kom.",kantor badan kepegawaian kota bangkalan adalah instansi pemerintahan yang bergerak di bidang pelaya kepegawaian untuk meningkatkan kualitas pelaya maka perlu adanya sebuah sistem informasi yang mampu memonitoring dan membantu proses kinerja dari dinas tersebut oleh karena itu dalam penelitian ini dibahas bagaimana menerapkan architecture enterprise bkd bangkalan dengan menggunakkan metode togaf adm dan mengimplementa sikannya kedalam sebuah implementasi aplikasi enterprise yang akan dibentuk menjadi satu keterpaduan dengan e government bangkalan togaf adm memiliki empat komponen utama arsitektur bisnis arsitektur data arsitektur teknologi dan arsitektur aplikasi intinya togaf digunakan untuk membuat architecture enterprise dari semua aspek tersebut dalam penelitian ini akan dibahas tentang perancangan sistem arsitektur sistem informasi bkd bangkalan sebagai sub sistem dari e government bangkalan dengan menggunakan togaf adm tujuannya agar dapat menghasilkan sistem aplikasi administrasi kantor badan kepegawaian daerah bangkalan membuat blue print serta memperbaiki efisiensi kenyama serta aksesibilitas pelaya terhadap publik agar lebih baik kata kunci arsitektur interprise togaf adm arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi,"['kantor', 'badan', 'kepegawaian', 'kota', 'bangkalan', 'instansi', 'pemerintahan', 'bergerak', 'bidang', 'pelaya', 'kepegawaian', 'meningkatkan', 'kualitas', 'pelaya', 'sistem', 'informasi', 'memonitoring', 'membantu', 'proses', 'kinerja', 'dinas', 'penelitian', 'dibahas', 'menerapkan', 'architecture', 'enterprise', 'bkd', 'bangkalan', 'menggunakkan', 'metode', 'togaf', 'adm', 'mengimplementa', 'sikannya', 'kedalam', 'implementasi', 'aplikasi', 'enterprise', 'dibentuk', 'keterpaduan', 'e', 'government', 'bangkalan', 'togaf', 'adm', 'memiliki', 'komponen', 'utama', 'arsitektur', 'bisnis', 'arsitektur', 'data', 'arsitektur', 'teknologi', 'arsitektur', 'aplikasi', 'intinya', 'togaf', 'architecture', 'enterprise', 'aspek', 'penelitian', 'dibahas', 'perancangan', 'sistem', 'arsitektur', 'sistem', 'informasi', 'bkd', 'bangkalan', 'sub', 'sistem', 'e', 'government', 'bangkalan', 'togaf', 'adm', 'tujuannya', 'menghasilkan', 'sistem', 'aplikasi', 'administrasi', 'kantor', 'badan', 'kepegawaian', 'daerah', 'bangkalan', 'blue', 'print', 'memperbaiki', 'efisiensi', 'kenyama', 'aksesibilitas', 'pelaya', 'publik', 'kunci', 'arsitektur', 'interprise', 'togaf', 'adm', 'arsitektur', 'bisnis', 'arsitektur', 'data', 'arsitektur', 'aplikasi', 'arsitektur', 'teknologi']"
